AirportName,DateValue,OnTimePerCent,TotalArrivals
"Los Angeles, CA: Los Angeles International",4/1/14,79.4006685,18549
"Los Angeles, CA: Los Angeles International",5/1/14,78.6937735,19417
"Los Angeles, CA: Los Angeles International",6/1/14,71.91355993,19447
"Los Angeles, CA: Los Angeles International",7/1/14,77.41782032,20370
"Los Angeles, CA: Los Angeles International",8/1/14,77.96078028,19429
"Los Angeles, CA: Los Angeles International",9/1/14,84.19687233,17585
"Los Angeles, CA: Los Angeles International",10/1/14,83.04577929,18196
"Los Angeles, CA: Los Angeles International",11/1/14,80.83901437,17045
"Los Angeles, CA: Los Angeles International",12/1/14,68.90371451,17822
"Los Angeles, CA: Los Angeles International",1/1/15,80.93168705,17332
"Los Angeles, CA: Los Angeles International",2/1/15,76.11012433,15764
"Los Angeles, CA: Los Angeles International",3/1/15,74.61390648,18006
"Los Angeles, CA: Los Angeles International",4/1/15,78.9446486,17416
"Los Angeles, CA: Los Angeles International",5/1/15,79.00205807,17978
"Los Angeles, CA: Los Angeles International",6/1/15,73.51963111,18542
"Los Angeles, CA: Los Angeles International",7/1/15,68.01972631,19365
"Los Angeles, CA: Los Angeles International",8/1/15,74.03207058,19270
"Los Angeles, CA: Los Angeles International",9/1/15,82.66786632,17505
"Los Angeles, CA: Los Angeles International",10/1/15,86.73566717,17739
"Los Angeles, CA: Los Angeles International",11/1/15,81.2915629,16463
"Los Angeles, CA: Los Angeles International",12/1/15,72.39513339,17055
"Las Vegas, NV: McCarran International",1/1/12,87.86063396,11294
"Las Vegas, NV: McCarran International",2/1/12,87.91415465,10682
"Las Vegas, NV: McCarran International",3/1/12,86.17631644,12211
"Las Vegas, NV: McCarran International",4/1/12,87.79226894,12107
"Las Vegas, NV: McCarran International",5/1/12,87.76553266,12522
"Las Vegas, NV: McCarran International",6/1/12,82.70001652,12104
"Las Vegas, NV: McCarran International",7/1/12,81.79358572,12441
"Las Vegas, NV: McCarran International",8/1/12,81.32223582,12255
"Las Vegas, NV: McCarran International",9/1/12,84.92282051,11700
"Las Vegas, NV: McCarran International",10/1/12,81.62135295,12373
"Las Vegas, NV: McCarran International",11/1/12,87.87431355,11290
"Las Vegas, NV: McCarran International",12/1/12,76.10603777,11279
"Las Vegas, NV: McCarran International",1/1/13,86.93403189,10975
"Las Vegas, NV: McCarran International",2/1/13,86.50174459,10031
"Las Vegas, NV: McCarran International",3/1/13,83.74146959,11840
"Las Vegas, NV: McCarran International",4/1/13,80.12834545,11695
"Las Vegas, NV: McCarran International",5/1/13,83.57239524,12266
"Las Vegas, NV: McCarran International",6/1/13,78.26359586,11897
"Las Vegas, NV: McCarran International",7/1/13,79.11495582,12109
"Las Vegas, NV: McCarran International",8/1/13,78.3922106,12042
"Las Vegas, NV: McCarran International",9/1/13,80.04922053,11418
"Las Vegas, NV: McCarran International",10/1/13,80.24845692,12151
"Las Vegas, NV: McCarran International",11/1/13,80.81099874,11074
"Las Vegas, NV: McCarran International",12/1/13,67.61740617,11111
"Las Vegas, NV: McCarran International",1/1/14,72.61120159,11052
"Las Vegas, NV: McCarran International",2/1/14,71.05924898,10093
"Las Vegas, NV: McCarran International",3/1/14,77.77127571,11962
"Las Vegas, NV: McCarran International",4/1/14,78.89886101,11677
"Las Vegas, NV: McCarran International",5/1/14,79.0732513,12109
"Las Vegas, NV: McCarran International",6/1/14,73.11082846,11793
"Las Vegas, NV: McCarran International",7/1/14,76.69918767,12064
"Las Vegas, NV: McCarran International",8/1/14,80.55125611,11862
"Las Vegas, NV: McCarran International",9/1/14,83.64347439,11225
"Las Vegas, NV: McCarran International",10/1/14,84.89195383,11782
"Las Vegas, NV: McCarran International",11/1/14,83.3847881,10689
"Las Vegas, NV: McCarran International",12/1/14,71.15330233,10750
"Las Vegas, NV: McCarran International",1/1/15,82.52987773,11614
"Las Vegas, NV: McCarran International",2/1/15,78.77134204,10566
"Las Vegas, NV: McCarran International",3/1/15,81.54909238,12395
"Las Vegas, NV: McCarran International",4/1/15,81.36396664,12111
"Las Vegas, NV: McCarran International",5/1/15,80.79912116,12744
"Las Vegas, NV: McCarran International",6/1/15,77.07625061,12354
"Las Vegas, NV: McCarran International",7/1/15,77.35557832,12692
"Las Vegas, NV: McCarran International",8/1/15,80.59995276,12701
"Las Vegas, NV: McCarran International",9/1/15,88.56834054,12028
"Las Vegas, NV: McCarran International",10/1/15,86.52952291,12702
"Las Vegas, NV: McCarran International",11/1/15,82.9890793,11904
"Las Vegas, NV: McCarran International",12/1/15,77.35991397,12089
"Houston, TX: George Bush Intercontinental/Houston",1/1/12,84.02254263,13663
"Houston, TX: George Bush Intercontinental/Houston",2/1/12,78.11201723,12998
"Houston, TX: George Bush Intercontinental/Houston",3/1/12,75.76878296,14601
"Houston, TX: George Bush Intercontinental/Houston",4/1/12,82.37929286,13802
"Houston, TX: George Bush Intercontinental/Houston",5/1/12,84.57244426,14487
"Houston, TX: George Bush Intercontinental/Houston",6/1/12,74.03244348,15658
"Houston, TX: George Bush Intercontinental/Houston",7/1/12,66.43040865,16640
"Houston, TX: George Bush Intercontinental/Houston",8/1/12,78.58988557,16254
"Houston, TX: George Bush Intercontinental/Houston",9/1/12,85.25402605,14282
"Houston, TX: George Bush Intercontinental/Houston",10/1/12,85.96927059,15067
"Houston, TX: George Bush Intercontinental/Houston",11/1/12,90.47147514,14724
"Houston, TX: George Bush Intercontinental/Houston",12/1/12,77.17533237,15194
"Houston, TX: George Bush Intercontinental/Houston",1/1/13,75.67302053,15004
"Houston, TX: George Bush Intercontinental/Houston",2/1/13,79.40149286,13933
"Houston, TX: George Bush Intercontinental/Houston",3/1/13,83.15846995,16287
"Houston, TX: George Bush Intercontinental/Houston",4/1/13,75.64104423,15169
"Houston, TX: George Bush Intercontinental/Houston",5/1/13,80.65132879,15691
"Houston, TX: George Bush Intercontinental/Houston",6/1/13,74.94601297,15726
"Houston, TX: George Bush Intercontinental/Houston",7/1/13,78.85665334,15759
"Houston, TX: George Bush Intercontinental/Houston",8/1/13,84.11650039,15236
"Houston, TX: George Bush Intercontinental/Houston",9/1/13,85.76925235,14258
"Houston, TX: George Bush Intercontinental/Houston",10/1/13,83.68873239,14910
"Houston, TX: George Bush Intercontinental/Houston",11/1/13,83.62591241,14248
"Houston, TX: George Bush Intercontinental/Houston",12/1/13,72.21949906,14852
"Houston, TX: George Bush Intercontinental/Houston",1/1/14,69.3252797,14569
"Houston, TX: George Bush Intercontinental/Houston",2/1/14,70.67691619,13399
"Houston, TX: George Bush Intercontinental/Houston",3/1/14,78.75081327,15370
"Houston, TX: George Bush Intercontinental/Houston",4/1/14,81.02504198,13697
"Houston, TX: George Bush Intercontinental/Houston",5/1/14,75.24610267,15331
"Houston, TX: George Bush Intercontinental/Houston",6/1/14,68.66655642,15118
"Houston, TX: George Bush Intercontinental/Houston",7/1/14,76.88149382,15611
"Houston, TX: George Bush Intercontinental/Houston",8/1/14,80.50108932,14688
"Houston, TX: George Bush Intercontinental/Houston",9/1/14,80.6827336,13506
"Houston, TX: George Bush Intercontinental/Houston",10/1/14,81.08023311,14757
"Houston, TX: George Bush Intercontinental/Houston",11/1/14,83.53267834,14046
"Houston, TX: George Bush Intercontinental/Houston",12/1/14,75.18213957,14143
"Houston, TX: George Bush Intercontinental/Houston",1/1/15,78.20331888,13378
"Houston, TX: George Bush Intercontinental/Houston",2/1/15,79.17059208,12228
"Houston, TX: George Bush Intercontinental/Houston",3/1/15,79.30680524,14048
"Houston, TX: George Bush Intercontinental/Houston",4/1/15,76.67800118,13528
"Houston, TX: George Bush Intercontinental/Houston",5/1/15,70.21490985,14420
"Houston, TX: George Bush Intercontinental/Houston",6/1/15,71.95044696,14207
"Houston, TX: George Bush Intercontinental/Houston",7/1/15,81.76975137,14037
"Houston, TX: George Bush Intercontinental/Houston",8/1/15,81.365979,13427
"Houston, TX: George Bush Intercontinental/Houston",9/1/15,88.67986528,12173
"Houston, TX: George Bush Intercontinental/Houston",10/1/15,85.12134271,13227
"Houston, TX: George Bush Intercontinental/Houston",11/1/15,83.20606538,12695
"Houston, TX: George Bush Intercontinental/Houston",12/1/15,78.35273481,12542
"Denver, CO: Denver International",1/1/12,85.46818709,18986
"Denver, CO: Denver International",2/1/12,82.14215767,18177
"Denver, CO: Denver International",3/1/12,86.34181943,20347
"Denver, CO: Denver International",4/1/12,86.74188329,19158
"Denver, CO: Denver International",5/1/12,86.3975621,19607
"Denver, CO: Denver International",6/1/12,80.14097402,20862
"Denver, CO: Denver International",7/1/12,77.84644533,22168
"Denver, CO: Denver International",8/1/12,83.08583375,21763
"Denver, CO: Denver International",9/1/12,87.33179037,18795
"Denver, CO: Denver International",10/1/12,83.56363636,19305
"Denver, CO: Denver International",11/1/12,87.55817601,17851
"Denver, CO: Denver International",12/1/12,72.98537713,18601
"Denver, CO: Denver International",1/1/13,78.65124375,17809
"Denver, CO: Denver International",2/1/13,77.63005537,16616
"Denver, CO: Denver International",3/1/13,77.04410861,19520
"Denver, CO: Denver International",4/1/13,73.97441873,18451
"Denver, CO: Denver International",5/1/13,79.90571878,19060
"Denver, CO: Denver International",6/1/13,74.80548731,19536
"Denver, CO: Denver International",7/1/13,74.7310161,20254
"Denver, CO: Denver International",8/1/13,77.49538124,20027
"Denver, CO: Denver International",9/1/13,79.40280508,18823
"Denver, CO: Denver International",10/1/13,81.37088379,19405
"Denver, CO: Denver International",11/1/13,83.26483688,17962
